Disease,Symptoms,Description,Treatment,Risk_Factors
acne,"pimples, blackheads, oily skin, nodules, scarring",inflammatory skin condition affecting follicles,"Topical retinoids, benzoyl peroxide, antibiotics, isotretinoin.","Hormonal changes, genetics, oily skin, diet"
diabetes,"increased thirst, frequent urination, fatigue, blurred vision, slow wounds",chronic high blood sugar due to insulin issues,"Insulin/oral hypoglycemics, diet, exercise.","Family history, obesity, sedentary lifestyle, age"
impetigo,"honeycolored crusts, red sores, itching, oozing, swollen lymph nodes",contagious bacterial skin infection,"Topical/systemic antibiotics, hygiene measures.","Close contact, young age, poor hygiene"
hypertension,"headache, dizziness, nosebleeds, blurred vision, chest pain",chronic elevated blood pressure increasing cardiovascular risk,"Lifestyle changes, antihypertensives.","Obesity, salt intake, sedentary lifestyle, stress"
peptic ulcer disease,"abdominal pain, bloating, nausea, heartburn, bleeding",lesions in stomachduodenum lining,"PPIs, H. pylori eradication, avoid NSAIDs.","H. pylori infection, NSAIDs, smoking, stress"
dimorphic hemorrhoidspiles,"anal itching, bleeding, pain during bowel movements, swelling",swollen rectal veins with dual internal  external components,"Fiber, laxatives, topical creams, surgery for severe cases.","Constipation, pregnancy, straining, obesity"
common cold,"runny nose, sore throat, cough, congestion, sneezing",viral upper respiratory infection,"Rest, fluids, decongestants, analgesics.","Seasonal exposure, close contact, weak immunity"
chicken pox,"fever, itchy rash, blisters, fatigue, headache",varicellazoster virus causing systemic rash,"Calamine lotion, antihistamines, antivirals in adults.","Unvaccinated status, exposure to infected individuals"
cervical spondylosis,"neck pain, stiffness, numbness, tingling in arms, weakness",degenerative changes in cervical spine causing nerve compression,"Physical therapy, NSAIDs, cervical collar, surgery if severe.","Age, posture, repetitive neck strain, smoking"
hyperthyroidism,"weight loss, tremor, heat intolerance, palpitations, anxiety",excess thyroid hormone production,"Antithyroid drugs, radioiodine, surgery.","Graves disease, iodine excess, family history"
urinary tract infection,"painful urination, frequent urge, cloudy urine, lower abdominal pain, burning",bacterial infection of urinary tract,"Antibiotics, hydration, urinary analgesics.","Female anatomy, sexual activity, catheter use, poor hygiene"
varicose veins,"leg swelling, aching, visible twisted veins, itching, heaviness",enlarged veins due to valve failure,"Compression stockings, exercise, sclerotherapy, surgery.","Age, female gender, obesity, prolonged standing"
aids,"weight loss, fever, night sweats, recurrent infections, lymphadenopathy",advanced hiv disease causing immune system failure,Antiretroviral therapy lifelong.,"Unprotected sex, needle sharing, vertical transmission"
paralysis brain hemorrhage,"sudden headache, weakness, numbness, slurred speech, confusion",bleeding in the brain leading to neurological deficits,"Urgent neurosurgery, blood pressure control, rehab.","Hypertension, aneurysm, anticoagulant use, age"
typhoid,"fever, abdominal pain, diarrhea or constipation, rash, headache",salmonella typhi infection via contaminated foodwater,"Antibiotics (azithromycin, ceftriaxone), hydration.","Poor sanitation, travel, contaminated water"
hepatitis b,"jaundice, fatigue, dark urine, abdominal pain, joint pain",viral liver infection transmitted sexuallybloodborne,"Antivirals, interferon, vaccine prevention.","Unprotected sex, IV drug use, unscreened blood transfusion"
fungal infection,"itching, rash, scaling, redness, blisters",dermatophyte or yeast infection on skinnails,"Topical/oral antifungals, hygiene.","Moisture, tight clothing, immunosuppression"
hepatitis c,"fatigue, jaundice, dark urine, abdominal pain, itching",bloodborne viral infection of liver,"Direct-acting antivirals, liver monitoring.","IV drug use, blood transfusions, unsafe healthcare"
migraine,"throbbing headache, nausea, light sensitivity, aura, fatigue",neurological headache disorder often recurrent,"NSAIDs, triptans, anti-nausea meds, lifestyle changes.","Family history, hormonal changes, stress, triggers"
bronchial asthma,"wheeze, shortness of breath, chest tightness, cough, nighttime symptoms",chronic airway inflammation causing bronchoconstriction,"Inhaled steroids, bronchodilators, avoidance of triggers.","Allergies, family history, smoking, pollution"
alcoholic hepatitis,"jaundice, fever, abdominal pain, nausea, elevated liver enzymes",inflammation of liver from chronic alcohol use,"Abstinence, nutrition, steroids in severe cases.","Heavy alcohol use, malnutrition, obesity"
jaundice,"yellowing skineyes, dark urine, pale stool, itching, abdominal pain",hyperbilirubinemia due to liver dysfunction,"Treat underlying cause, hydration, rest.","Liver disease, bile duct obstruction, hemolysis"
hepatitis e,"jaundice, fever, nausea, fatigue, abdominal pain",fecaloral viral liver infection selflimited,"Supportive care, avoid alcohol, hospitalize if pregnant.","Contaminated water, travel, poor sanitation"
dengue,"fever, joint pain, rash, headache, bleeding tendency",mosquitoborne viral infection with severe pain,"Fluids, paracetamol, hospitalization if hemorrhagic.","Mosquito exposure, prior dengue infection"
hepatitis d,"jaundice, fatigue, abdominal pain, nausea, joint pain",delta virus coinfecting with hepatitis b,"Manage HBV infection, antivirals.","HBV infection, IV drug use, poor healthcare conditions"
heart attack,"chest pain, shortness of breath, sweating, nausea, pain radiating to arm",myocardial infarction due to blocked coronary artery,"Aspirin, PCI, thrombolytics, beta-blockers.","Smoking, hypertension, cholesterol, diabetes"
pneumonia,"fever, cough, chest pain, shortness of breath, sputum",infection of lung parenchyma bacterialviral,"Antibiotics, oxygen, fluids, rest.","Age extremes, smoking, chronic illness, immunosuppression"
arthritis,"joint pain, stiffness, swelling, reduced motion, warmth","general term for joint inflammation oa, ra","NSAIDs, physical therapy, DMARDs for RA.","Age, obesity, autoimmunity, joint injury"
gastroenteritis,"diarrhea, vomiting, abdominal cramps, fever, dehydration",stomachintestine inflammation due to infectiontoxin,"Rehydration, antiemetics, antibiotics if bacterial.","Contaminated food/water, daycare, travel"
tuberculosis,"night sweats, fever, weight loss, cough, hemoptysis",mycobacterial lung infection can affect other organs,"RIPE therapy (rifampin, isoniazid, pyrazinamide, ethambutol).","Close contact, HIV, crowded living, immunosuppression"
diabetes,"excessive thirst, frequent urination, fatigue, blurred vision","chronic condition affecting blood sugar regulation","insulin, medication, diet control","family history, obesity, sedentary lifestyle"
heart failure,"shortness of breath, swelling, fatigue, chest pain","heart cannot pump blood effectively","medications, lifestyle changes, surgery","high blood pressure, heart disease, diabetes"
kidney disease,"swelling, shortness of breath, fatigue, changes in urination","kidneys cannot filter waste properly","medications, dialysis, transplant","diabetes, high blood pressure, family history"
strabismus,"double vision, eye strain, crossed eyes","misalignment of eyes","glasses, surgery, eye exercises","genetics, muscle weakness, nerve problems"
nerve palsy,"double vision, drooping eyelid, facial weakness","nerve dysfunction causing muscle weakness","medications, therapy, surgery","diabetes, infections, trauma"
orthostatic hypotension,"dizziness, lightheadedness, fainting","blood pressure drops when standing","hydration, medication adjustment","dehydration, medications, age"
dehydration,"dizziness, dry mouth, fatigue, dark urine","insufficient body fluids","fluid replacement, electrolyte balance","inadequate fluid intake, illness, heat exposure"
vitreous detachment,"floaters, flashes of light, blurred vision","separation of vitreous gel from retina","monitoring, surgery if severe","age, myopia, eye trauma"
diabetic retinopathy,"blurred vision, floaters, dark spots, vision loss","diabetes damages blood vessels in retina","laser treatment, injections, surgery","diabetes, poor blood sugar control, hypertension"
Costochondritis,"Inflammation of cartilage connecting a rib to the sternum.","Rest, anti-inflammatory meds, heat/cold therapy.","Repetitive trauma, upper respiratory infections."
muscle strain,"localized pain, swelling, muscle weakness, limited motion","overstretching or tearing of muscle fibers","rest, ice, compression, elevation (RICE), physical therapy","overuse, poor conditioning, inadequate warm-up"
tendonitis,"pain near joint, swelling, stiffness, tenderness","inflammation of a tendon due to overuse or injury","rest, NSAIDs, physical therapy, corticosteroid injections","repetitive motion, poor posture, aging"
myositis,"muscle pain, weakness, fatigue, difficulty climbing stairs","inflammation of the muscles, often autoimmune","corticosteroids, immunosuppressants, physical therapy","autoimmune disease, infection, medications"
fibromyalgia,"widespread pain, fatigue, sleep disturbances, cognitive issues","chronic condition with abnormal pain processing","pain relievers, antidepressants, exercise therapy","stress, trauma, infections, genetics"
rhabdomyolysis,"muscle pain, dark urine, weakness, swelling","muscle breakdown releasing toxins into blood","IV fluids, hospitalization, dialysis if needed","trauma, extreme exertion, drug use"
muscle cramp,"sudden sharp pain, tightness, visible hardening of muscle","involuntary muscle contraction","stretching, hydration, electrolyte balance","dehydration, overuse, mineral deficiencies"
sinusitis,"facial pain, nasal congestion, headache, postnasal drip",inflammation of sinus cavities,"decongestants, nasal steroids, antibiotics (if bacterial)","allergies, cold, nasal polyps"
conjunctivitis,"red eyes, itching, discharge, tearing",inflammation of the conjunctiva,"antihistamines, antibiotics (bacterial), hygiene","infections, allergies, irritants"
otitis media,"ear pain, fever, hearing loss, irritability",infection of the middle ear,"antibiotics, pain relievers","age (children), colds, allergies"
anemia,"fatigue, pallor, dizziness, shortness of breath",deficiency in red blood cells or hemoglobin,"iron supplements, B12, dietary changes","poor diet, chronic disease, menstruation"
gallstones,"upper abdominal pain, nausea, vomiting, jaundice",solid deposits in gallbladder blocking bile flow,"cholecystectomy, dietary changes","obesity, female gender, high-fat diet"
bacterial vaginosis,"vaginal discharge, odor, itching, burning",imbalance of vaginal bacteria,"antibiotics (metronidazole, clindamycin)","multiple partners, douching"
tension headache,"dull head pain, scalp tightness, neck stiffness",muscle tension causing headache,"NSAIDs, stress management, posture correction","stress, poor sleep, eye strain"
plantar fasciitis,"heel pain, stiffness, worse in morning",inflammation of tissue under foot,"rest, orthotics, physical therapy","flat feet, obesity, prolonged standing"
scabies,"intense itching, rash, burrow tracks",skin infestation by mites,"topical permethrin, oral ivermectin","close contact, poor hygiene"
eczema,"dry skin, itching, red patches, cracking",chronic inflammatory skin condition,"emollients, steroids, antihistamines","genetics, allergens, irritants"
bronchitis,"cough, mucus, chest discomfort, wheezing, fatigue",inflammation of bronchial tubes,"rest, fluids, bronchodilators, cough suppressants","smoking, cold/flu, air pollution"
influenza,"fever, chills, muscle aches, sore throat, fatigue",viral respiratory illness,"antivirals, rest, fluids, pain relievers","seasonal outbreaks, weak immunity, contact"
heat stroke,"high body temp, confusion, nausea, dry skin, rapid pulse",serious heat-related illness due to prolonged exposure,"cooling, IV fluids, emergency care","heat exposure, dehydration, exertion"
food poisoning,"vomiting, diarrhea, abdominal cramps, fever",ingestion of contaminated food or water,"hydration, rest, antibiotics if bacterial","undercooked food, poor hygiene, unclean water"
lactose intolerance,"bloating, gas, diarrhea, stomach pain",inability to digest lactose in dairy products,"lactose-free diet, enzyme supplements","genetics, age, ethnicity"
irritable bowel syndrome,"abdominal pain, bloating, constipation, diarrhea",functional GI disorder without structural cause,"dietary changes, antispasmodics, stress reduction","stress, diet, gut-brain axis imbalance"
seasonal allergies,"sneezing, runny nose, itchy eyes, congestion",immune reaction to airborne allergens like pollen,"antihistamines, nasal sprays, allergen avoidance","family history, pollen exposure, asthma"
depression,"low mood, fatigue, sleep issues, appetite changes",mental health disorder affecting mood and daily life,"therapy, antidepressants, lifestyle changes","genetics, stress, trauma, chronic illness"
anxiety disorder,"restlessness, worry, palpitations, muscle tension",mental health condition marked by excessive fear/worry,"therapy, SSRIs, lifestyle changes","genetics, stress, personality traits"
menstrual cramps,"lower abdominal pain, back pain, fatigue, nausea",painful menstruation due to uterine contractions,"NSAIDs, heat therapy, hormonal birth control","young age, heavy periods, hormone imbalance"
dyspepsia,"bloating, upper abdominal discomfort, early satiety, burping",indigestion from acid/motility or stress,"antacids, PPIs, diet change","overeating, spicy foods, stress"
sciatica,"lower back pain, leg tingling, numbness, weakness",compression of sciatic nerve roots,"NSAIDs, physical therapy, posture correction","disc herniation, poor posture, obesity"
constipation,"infrequent stools, hard stools, straining, bloating",difficulty passing stools regularly,"fiber intake, hydration, laxatives","diet low in fiber, inactivity, dehydration"
tonsillitis,"sore throat, fever, swollen tonsils, difficulty swallowing",infection of the tonsils,"antibiotics if bacterial, pain relief, fluids","viral/bacterial exposure, poor hygiene"
ringworm,"itchy ring-shaped rash, redness, scaling","fungal infection of the skin or scalp","antifungal creams, hygiene, avoiding sharing items","moisture, contact sports, poor hygiene"
appendicitis,"abdominal pain (lower right), fever, nausea, vomiting, loss of appetite",inflammation of the appendix often requiring surgery,"Appendectomy, antibiotics before surgery","age (10–30), infection, obstruction"
sleep apnea,"loud snoring, daytime fatigue, pauses in breathing during sleep, morning headache",disorder causing breathing interruptions during sleep,"CPAP therapy, weight loss, surgery if needed","obesity, male gender, neck circumference"
pcos,"irregular periods, acne, excess hair, weight gain, infertility",hormonal disorder causing enlarged ovaries with cysts,"Lifestyle changes, hormonal therapy, metformin","genetics, insulin resistance, obesity"
gout,"sudden joint pain, swelling, redness, often in big toe",form of arthritis due to uric acid crystal buildup,"NSAIDs, colchicine, dietary changes","high purine diet, alcohol use, kidney disease"
bipolar disorder,"mood swings, manic episodes, depression, irritability, impulsiveness",mental illness causing alternating periods of mania and depression,"Mood stabilizers, psychotherapy, antipsychotics","family history, stress, substance abuse"
meningitis,"stiff neck, fever, headache, photophobia, confusion",inflammation of membranes covering brain/spinal cord,"Antibiotics (bacterial), antivirals, hospitalization","age extremes, unvaccinated status, infections"
celiac disease,"diarrhea, bloating, weight loss, fatigue, rash",autoimmune reaction to gluten damaging small intestine,"Gluten-free diet, nutritional support","genetics, type 1 diabetes, autoimmune disorders"
panic disorder,"sudden fear, palpitations, chest pain, shortness of breath, dizziness",recurring panic attacks without clear triggers,"CBT, SSRIs, lifestyle changes","family history, stress, major life changes"
parkinson’s disease,"tremor, slow movement, stiffness, balance issues",progressive nervous system disorder affecting movement,"Levodopa, physical therapy, deep brain stimulation","age, family history, environmental toxins"
lupus,"fatigue, joint pain, skin rash, fever, photosensitivity",autoimmune disease affecting multiple organs,"Immunosuppressants, corticosteroids, antimalarials","female gender, genetics, sunlight exposure"
Viral Pharyngitis,"Sore throat, Runny nose, Cough, Hoarseness, Low-grade fever, Body aches","Viral pharyngitis is the inflammation of the pharynx caused by a viral infection, commonly due to rhinovirus, influenza, Epstein-Barr virus (mononucleosis), or COVID-19.","Symptomatic relief: Rest, hydration, warm salt water gargles, lozenges, acetaminophen or ibuprofen. Antibiotics are not effective.","Exposure to viral infections, close contact with sick individuals, weakened immune system, seasonal changes."
Streptococcal Pharyngitis (Strep Throat),"Severe sore throat, Fever, Swollen lymph nodes, Red and swollen tonsils, White patches on tonsils, Headache","A bacterial infection of the throat and tonsils caused by group A Streptococcus. Unlike viral pharyngitis, it often lacks cough or runny nose.","Antibiotics (penicillin or amoxicillin), rest, hydration, pain relievers like ibuprofen or acetaminophen.","Close contact with infected individuals, children aged 5–15, overcrowded environments, poor hygiene."
Mononucleosis (Mono),"Extreme fatigue, Sore throat, Swollen lymph nodes, Fever, Enlarged spleen, Rash","Caused by the Epstein-Barr virus, mononucleosis is a contagious infection that typically spreads via saliva.","Rest, hydration, avoiding contact sports (if spleen enlarged), pain and fever management. No specific antiviral.","Teenagers and young adults, kissing or sharing drinks, weakened immunity."
Chikungunya,"fever, joint pain, muscle pain, headache, rash, fatigue","Chikungunya is a viral illness transmitted by Aedes mosquitoes. It causes sudden onset of fever and severe joint pain, often accompanied by muscle pain, rash, and fatigue.","There is no specific antiviral treatment. Supportive care includes rest, hydration, and use of acetaminophen or paracetamol to reduce fever and pain. NSAIDs should be avoided until dengue is ruled out.","Living or traveling in mosquito-prone regions, exposure to daytime-biting mosquitoes (Aedes aegypti and Aedes albopictus), and lack of mosquito control."
Dengue Fever,"high fever, headache, pain behind the eyes, joint pain, muscle pain, skin rash, mild bleeding, fatigue","Dengue Fever is a mosquito-borne viral infection common in tropical and subtropical regions. It presents with flu-like symptoms and, in severe cases, can lead to dengue hemorrhagic fever.","No specific antiviral treatment. Management includes supportive care with fluids, rest, and acetaminophen for pain and fever. NSAIDs and aspirin should be avoided due to bleeding risk.","Living or traveling in tropical/subtropical areas, previous dengue infection, poor sanitation, and mosquito breeding sites such as standing water."
"Viral Gastroenteritis","diarrhea, vomiting, nausea, abdominal cramps, fever, headache, muscle aches","Inflammation of the stomach and intestines caused by a viral infection (e.g., norovirus, rotavirus), commonly known as the stomach flu. It is highly contagious.","Supportive care focusing on rehydration with fluids and electrolytes (oral rehydration solution), rest, and a bland diet (BRAT). Antiemetics or antidiarrheals may be used under medical supervision.","Consumption of contaminated food or water, close contact with an infected person, poor hygiene, being in crowded environments like daycares or cruise ships."
